"","playerID","1","2","3","4","5","6","7","8","9","10","11"
"1","aardsda01","NYA","NYN","ATL","","","","","","","",""
"2","abadfe01","HOU","HOU","WAS","OAK","OAK","MIN","BOS","","","",""
"3","abreubo01","LAA","LAA","LAN","NYN","","","","","","",""
"4","abreujo02","CHA","CHA","CHA","","","","","","","",""
"5","abreuju01","HOU","","","","","","","","","",""
"6","abreuto01","KCA","SFN","SFN","","","","","","","",""
"7","accarje01","BAL","CLE","OAK","","","","","","","",""
"8","aceveal01","BOS","BOS","BOS","NYA","","","","","","",""
"9","achteaj01","MIN","MIN","LAA","","","","","","","",""
"10","ackledu01","SEA","SEA","SEA","SEA","SEA","NYA","NYA","","","",""
"11","acostma01","NYN","NYN","","","","","","","","",""
"12","adamecr01","COL","COL","COL","","","","","","","",""
"13","adamsau01","CLE","CLE","CLE","","","","","","","",""
"14","adamsda02","NYA","","","","","","","","","",""
"15","adamsla01","KCA","","","","","","","","","",""
"16","adamsma01","SLN","SLN","SLN","SLN","SLN","","","","","",""
"17","adamsmi03","SDN","TEX","TEX","PHI","PHI","","","","","",""
"18","adamsry01","BAL","","","","","","","","","",""
"19","adcocna01","KCA","KCA","TEX","CIN","","","","","","",""
"20","adducji02","TEX","TEX","","","","","","","","",""
"21","adlemti01","CIN","","","","","","","","","",""
"22","adriaeh01","SFN","SFN","SFN","SFN","","","","","","",""
"23","affelje01","SFN","SFN","SFN","SFN","SFN","","","","","",""
"24","aguilje01","CLE","CLE","CLE","","","","","","","",""
"25","ahmedni01","ARI","ARI","ARI","","","","","","","",""
"26","albaljo01","ARI","","","","","","","","","",""
"27","alberan01","MIN","TOR","MIN","","","","","","","",""
"28","alberha01","TEX","TEX","","","","","","","","",""
"29","alberma01","BOS","BOS","ARI","CLE","HOU","CHA","CHA","","","",""
"30","albural01","DET","DET","DET","DET","DET","LAA","","","","",""
"31","alcanar01","CHN","CHN","OAK","","","","","","","",""
"32","alcanra01","OAK","","","","","","","","","",""
"33","alexasc01","KCA","KCA","","","","","","","","",""
"34","alfarjo01","PHI","","","","","","","","","",""
"35","alfonel01","COL","","","","","","","","","",""
"36","allenbr01","ARI","OAK","OAK","TBA","","","","","","",""
"37","allenco01","CLE","CLE","CLE","CLE","CLE","","","","","",""
"38","almonab01","SEA","SEA","SDN","SDN","CLE","CLE","","","","",""
"39","almoner01","MIL","","","","","","","","","",""
"40","almonmi01","KCA","","","","","","","","","",""
"41","almonzo01","NYA","NYA","","","","","","","","",""
"42","almoral01","CHN","","","","","","","","","",""
"43","alonsyo01","CIN","SDN","SDN","SDN","SDN","OAK","","","","",""
"44","altavda01","SEA","","","","","","","","","",""
"45","altheaa01","PHI","PHI","PHI","","","","","","","",""
"46","altuvjo01","HOU","HOU","HOU","HOU","HOU","HOU","","","","",""
"47","alvarda01","NYN","NYN","ATL","TEX","","","","","","",""
"48","alvarda02","BAL","BAL","","","","","","","","",""
"49","alvarhe01","TOR","TOR","MIA","MIA","MIA","","","","","",""
"50","alvarjo02","DET","LAA","LAA","LAA","","","","","","",""
"51","alvarpe01","PIT","PIT","PIT","PIT","PIT","BAL","","","","",""
"52","alvarrj01","SDN","OAK","","","","","","","","",""
"53","amarial01","LAA","LAA","SDN","SDN","SDN","SDN","SDN","","","",""
"54","ambrihe01","HOU","HOU","SDN","","","","","","","",""
"55","amesst01","MIA","","","","","","","","","",""
"56","amezaal01","COL","FLO","","","","","","","","",""
"57","anderbr04","OAK","OAK","OAK","COL","LAN","LAN","","","","",""
"58","anderbr05","SLN","CHA","OAK","OAK","","","","","","",""
"59","anderch01","ARI","ARI","MIL","","","","","","","",""
"60","anderco01","CLE","CLE","","","","","","","","",""
